Data written for 2 signals in a group signal
Ref Chan:Resp Chan	 0-Z:0-Z	 0-Z:0-Z
Channel Names	I1	I2
Channel Comments		

   	 X1	 X2
Time	 Real	Real
   	EU	EU

Units:
sec	N	m/s²
0.0000000000000e+000	      -0.1693372	        0.608824
1.2500000000000e-003	        -0.21747	       0.7776794
2.5000000000000e-003	      -0.2672908	       0.9275506
3.7500000000000e-003	      -0.3125505	        1.062393
5.0000000000000e-003	      -0.3530301	        1.199659
6.2500000000000e-003	      -0.3879184	        1.324389
7.5000000000000e-003	      -0.4185335	        1.434826
8.7500000000000e-003	      -0.4425411	        1.524705
1.0000000000000e-002	       -0.461881	        1.602827
1.1250000000000e-002	      -0.4749968	        1.667208
1.2500000000000e-002	      -0.4777364	        1.698318
1.3750000000000e-002	      -0.4782009	         1.69581
1.5000000000000e-002	      -0.4710527	        1.706594
1.6250000000000e-002	      -0.4608197	        1.679121
1.7500000000000e-002	      -0.4426753	          1.6347
1.8750000000000e-002	      -0.4207703	        1.569273
2.0000000000000e-002	      -0.3962156	        1.501783
2.1250000000000e-002	       -0.354194	        1.425918
2.2500000000000e-002	      -0.3166304	        1.321352
2.3750000000000e-002	      -0.2726283	        1.202643
2.5000000000000e-002	      -0.2243735	        1.049143
2.6250000000000e-002	      -0.1716132	       0.9023962
2.7500000000000e-002	      -0.1164176	       0.7567688
2.8750000000000e-002	     -0.05947829	       0.5956555
3.0000000000000e-002	    -0.003541682	       0.4221587
3.1250000000000e-002	      0.05544082	       0.2445078
3.2500000000000e-002	       0.1167356	      0.05942176
3.3750000000000e-002	       0.1728539	      -0.1136216
3.5000000000000e-002	       0.2272414	      -0.2923122
3.6250000000000e-002	       0.2771036	      -0.4506853
3.7500000000000e-002	       0.3251695	      -0.6007289
3.8750000000000e-002	       0.3678643	      -0.7529772
4.0000000000000e-002	       0.4034794	      -0.9004803
4.1250000000000e-002	       0.4416872	       -1.025792
4.2500000000000e-002	       0.4691166	       -1.150522
4.3750000000000e-002	        0.492291	       -1.246298
4.5000000000000e-002	       0.5088578	       -1.325274
4.6250000000000e-002	       0.5220953	       -1.384713
4.7500000000000e-002	       0.5276476	       -1.436033
4.8750000000000e-002	       0.5292362	       -1.485143
5.0000000000000e-002	       0.5240745	       -1.488574
5.1250000000000e-002	       0.5116029	       -1.475981
5.2500000000000e-002	       0.4994929	       -1.446069
5.3750000000000e-002	       0.4783353	       -1.392857
5.5000000000000e-002	       0.4542051	       -1.309742
5.6250000000000e-002	       0.4225518	        -1.23275
5.7500000000000e-002	       0.3874468	       -1.138025
5.8750000000000e-002	        0.347368	       -1.020257
6.0000000000000e-002	       0.3024659	      -0.8938605
6.1250000000000e-002	       0.2598343	       -0.754761
6.2500000000000e-002	       0.2102683	      -0.6113489
6.3750000000000e-002	       0.1593439	      -0.4483865
6.5000000000000e-002	       0.1059949	      -0.2783228
6.6250000000000e-002	      0.05358582	      -0.1151841
6.7500000000000e-002	    -0.001001008	      0.06388123
6.8750000000000e-002	     -0.05430207	       0.2473085
7.0000000000000e-002	      -0.1072818	       0.4257482
7.1250000000000e-002	      -0.1613899	       0.6048565
7.2500000000000e-002	      -0.2093603	       0.7621722
7.3750000000000e-002	      -0.2572925	       0.9235407
7.5000000000000e-002	      -0.3017694	        1.076425
7.6250000000000e-002	      -0.3442205	        1.206289
7.7500000000000e-002	      -0.3816259	         1.34058
7.8750000000000e-002	      -0.4142831	         1.44332
8.0000000000000e-002	      -0.4443618	        1.532826
8.1250000000000e-002	      -0.4603899	        1.620202
8.2500000000000e-002	      -0.4752868	        1.674514
8.3750000000000e-002	      -0.4842019	        1.708661
8.5000000000000e-002	      -0.4852551	        1.728045
8.6250000000000e-002	      -0.4787824	        1.736983
8.7500000000000e-002	      -0.4664794	        1.724605
8.8750000000000e-002	       -0.448209	        1.683003
9.0000000000000e-002	      -0.4261597	        1.627202
9.1250000000000e-002	      -0.3954921	        1.560006
9.2500000000000e-002	      -0.3566112	        1.471791
9.3750000000000e-002	      -0.3172744	        1.364044
9.5000000000000e-002	      -0.2727264	        1.248605
9.6250000000000e-002	      -0.2260183	        1.104385
9.7500000000000e-002	      -0.1743869	       0.9645592
9.8750000000000e-002	      -0.1223799	       0.8139277
1.0000000000000e-001	     -0.07235656	       0.6473758
1.0125000000000e-001	    -0.009237573	       0.4676069
1.0250000000000e-001	      0.04659265	       0.2885917
1.0375000000000e-001	       0.1035821	       0.1222872
1.0500000000000e-001	       0.1600878	     -0.06017609
1.0625000000000e-001	       0.2156047	      -0.2208536
