Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I2
Channel Comment	

Time	 Real

Units:
sec	m/s²
0.0000000000000e+000	       0.3698856
1.9531250000000e-004	       0.3661475
3.9062500000000e-004	       0.3591411
5.8593750000000e-004	       0.3590421
7.8125000000000e-004	       0.3576885
9.7656250000000e-004	        0.364359
1.1718750000000e-003	        0.364359
1.3671875000000e-003	       0.3635571
1.5625000000000e-003	       0.3614151
1.7578125000000e-003	       0.3637939
1.9531250000000e-003	       0.3541377
2.1484375000000e-003	       0.3513475
2.3437500000000e-003	       0.3682348
2.5390625000000e-003	       0.3572015
2.7343750000000e-003	       0.3678678
2.9296875000000e-003	       0.3653275
3.1250000000000e-003	       0.3614944
3.3203125000000e-003	       0.3590956
3.5156250000000e-003	       0.3637147
3.7109375000000e-003	        0.367655
3.9062500000000e-003	       0.3667928
4.1015625000000e-003	       0.3591042
4.2968750000000e-003	          0.3652
4.4921875000000e-003	       0.3644661
4.6875000000000e-003	        0.363896
4.8828125000000e-003	       0.3653653
5.0781250000000e-003	       0.3566437
5.2734375000000e-003	       0.3568282
5.4687500000000e-003	         0.36009
5.6640625000000e-003	       0.3591901
5.8593750000000e-003	       0.3663638
6.0546875000000e-003	       0.3787335
6.2500000000000e-003	       0.3783091
6.4453125000000e-003	       0.3757894
6.6406250000000e-003	       0.3832157
6.8359375000000e-003	       0.3759039
7.0312500000000e-003	       0.3787337
7.2265625000000e-003	       0.3654421
7.4218750000000e-003	       0.3750222
7.6171875000000e-003	       0.3698821
7.8125000000000e-003	       0.3628654
8.0078125000000e-003	       0.3704615
8.2031250000000e-003	        0.365507
8.3984375000000e-003	       0.3742582
8.5937500000000e-003	       0.3621651
8.7890625000000e-003	       0.3770122
8.9843750000000e-003	       0.3770122
9.1796875000000e-003	       0.3761412
9.3750000000000e-003	       0.3675368
9.5703125000000e-003	       0.3710472
9.7656250000000e-003	       0.3690174
9.9609375000000e-003	       0.3730017
1.0156250000000e-002	       0.3721999
1.0351562500000e-002	       0.3637554
1.0546875000000e-002	       0.3714095
1.0742187500000e-002	       0.3896377
1.0937500000000e-002	       0.3905342
1.1132812500000e-002	       0.3830301
1.1328125000000e-002	       0.3693708
1.1523437500000e-002	        0.373759
1.1718750000000e-002	       0.3800584
1.1914062500000e-002	       0.3807876
1.2109375000000e-002	       0.3697538
1.2304687500000e-002	       0.3571086
1.2500000000000e-002	       0.3659646
1.2695312500000e-002	       0.3660272
1.2890625000000e-002	       0.3593398
1.3085937500000e-002	       0.3552369
1.3281250000000e-002	       0.3613407
1.3476562500000e-002	       0.3644364
1.3671875000000e-002	       0.3633283
1.3867187500000e-002	       0.3643294
1.4062500000000e-002	       0.3633012
1.4257812500000e-002	       0.3563056
1.4453125000000e-002	        0.366507
1.4648437500000e-002	       0.3662449
1.4843750000000e-002	       0.3485681
1.5039062500000e-002	       0.3564504
1.5234375000000e-002	       0.3622787
1.5429687500000e-002	       0.3636797
1.5625000000000e-002	       0.3612931
1.5820312500000e-002	       0.3534472
1.6015625000000e-002	       0.3568967
1.6210937500000e-002	       0.3484584
1.6406250000000e-002	       0.3689021
1.6601562500000e-002	       0.3691401
1.6796875000000e-002	       0.3689406
1.6992187500000e-002	        0.362335
1.7187500000000e-002	       0.3613133
1.7382812500000e-002	       0.3721335
1.7578125000000e-002	       0.3706964
1.7773437500000e-002	       0.3568293
1.7968750000000e-002	       0.3670082
1.8164062500000e-002	        0.354957
1.8359375000000e-002	       0.3527999
1.8554687500000e-002	       0.3591006
1.8750000000000e-002	       0.3451582
1.8945312500000e-002	       0.3601847
1.9140625000000e-002	       0.3508844
1.9335937500000e-002	       0.3503292
1.9531250000000e-002	       0.3647324
1.9726562500000e-002	       0.3603005
1.9921875000000e-002	       0.3520468
2.0117187500000e-002	       0.3413955
2.0312500000000e-002	       0.3560116
2.0507812500000e-002	       0.3420877
2.0703125000000e-002	       0.3393842
2.0898437500000e-002	       0.3424369
2.1093750000000e-002	       0.3463928
2.1289062500000e-002	       0.3494134
2.1484375000000e-002	       0.3474659
2.1679687500000e-002	       0.3504966
2.1875000000000e-002	       0.3336399
2.2070312500000e-002	       0.3485948
2.2265625000000e-002	       0.3454573
2.2460937500000e-002	       0.3396838
2.2656250000000e-002	       0.3498315
2.2851562500000e-002	       0.3499607
2.3046875000000e-002	       0.3351821
2.3242187500000e-002	       0.3284937
2.3437500000000e-002	        0.339437
2.3632812500000e-002	        0.347287
2.3828125000000e-002	       0.3423625
2.4023437500000e-002	       0.3332865
2.4218750000000e-002	       0.3420558
2.4414062500000e-002	       0.3446371
2.4609375000000e-002	        0.347024
2.4804687500000e-002	       0.3454046
2.5000000000000e-002	       0.3461453
2.5195312500000e-002	       0.3527808
2.5390625000000e-002	       0.3421087
2.5585937500000e-002	       0.3450711
2.5781250000000e-002	       0.3542961
2.5976562500000e-002	       0.3367631
2.6171875000000e-002	       0.3274683
2.6367187500000e-002	       0.3313366
2.6562500000000e-002	       0.3266601
2.6757812500000e-002	       0.3286703
2.6953125000000e-002	       0.3314199
2.7148437500000e-002	       0.3164241
2.7343750000000e-002	       0.3247612
2.7539062500000e-002	       0.3262915
2.7734375000000e-002	       0.3337829
2.7929687500000e-002	       0.3312489
2.8125000000000e-002	       0.3340184
2.8320312500000e-002	       0.3364936
2.8515625000000e-002	       0.3402863
2.8710937500000e-002	       0.3357489
2.8906250000000e-002	        0.343873
2.9101562500000e-002	       0.3284212
2.9296875000000e-002	       0.3400532
2.9492187500000e-002	       0.3363956
2.9687500000000e-002	       0.3296943
2.9882812500000e-002	       0.3194312
